SIGLA;COD;ESTADO;LAT;LONG
RO;11;RONDONIA;-10.876464994816283;-62.56713867187501
AC;12;ACRE;-9.137776;-70.705225
AM;13;AMAZONAS;-3.879904;-63.464741
RR;14;RORAIMA;1.846157;-61.198992
PA;15;PARÁ;-5.419148251825286;-52.41577148437501
AP;16;AMAPÁ;1.8014609294680355;-51.66870117187501
TO;17;TOCANTINS;-9.326244;-48.429593
MA;21;MARANHÃO;-5.605973;-45.286116
PI;22;PIAUÍ;-6.788508;-41.855949
CE;23;CEARÁ;-5.271043;-39.353466
RN;24;RIO GRANDE DO NORTE;-5.870044;-36.588627
PB;25;PARAÍBA;-7.165586;-36.687598
PE;26;PERNAMBUCO;-8.378422;-37.838006
AL;27;ALAGOAS;-9.690295;-36.622997
SE;28;SERGIPE;-10.509416700845861;-37.35076904296876
BA;29;BAHIA;-12.44730485070126;-41.09985351562501
MG;31;MINAS GERAIS;-18.271086109608877;-44.26391601562501
ES;32;ESPÍRITO SANTO;-19.603329;-40.388656
RJ;33;RIO DE JANEIRO;-22.105998799750566;-42.45941162109376
SP;35;SÃO PAULO;-22.06527806776582;-48.74633789062501
PR;41;PARANÁ;-24.487148563173424;-51.47094726562501
SC;42;SANTA CATARINA;-27.117812842321225;-50.56457519531251
RS;43;RIO GRANDE DO SUL;-29.496987596535757;-53.00903320312501
MS;50;MATO GROSSO DO SUL;-20.620692;-54.788411
MT;51;MATO GROSSO;-12.232654837013472;-55.84350585937501
GO;52;GOIÁS;-16.024695711685304;-49.40551757812501
DF;53;DISTRITO FEDERAL;-15.731457491108594;-47.76443481445313
